0.00	,	0.00
0.01	,	997.9761159
0.02	,	1952.335887
0.03	,	2821.369211
0.04	,	3567.095162
0.05	,	4156.921938
0.06	,	4565.071278
0.07	,	4773.705098
0.08	,	4773.705098
0.09	,	4565.071278
0.10	,	4156.921938
0.11	,	3567.095162
0.12	,	2821.369211
0.13	,	1952.335887
0.14	,	997.9761159
0.15	,	5.8783E-013
0.16	,	0
0.17	,	0
0.18	,	0
0.19	,	0
0.20	,	0
0.21	,	0
0.22	,	0
0.23	,	0
0.24	,	0
0.25	,	0
0.26	,	0
0.27	,	0
0.28	,	0
0.29	,	0
0.30	,	0
0.31	,	0
0.32	,	0
0.33	,	0
0.34	,	0
0.35	,	0
0.36	,	0
0.37	,	0
0.38	,	0
0.39	,	0
0.40	,	0
0.41	,	0
0.42	,	0
0.43	,	0
0.44	,	0
0.45	,	0
0.46	,	0
0.47	,	0
0.48	,	0
0.49	,	0
0.50	,	0
0.51	,	997.9761159
0.52	,	1952.335887
0.53	,	2821.369211
0.54	,	3567.095162
0.55	,	4156.921938
0.56	,	4565.071278
0.57	,	4773.705098
0.58	,	4773.705098
0.59	,	4565.071278
0.60	,	4156.921938
0.61	,	3567.095162
0.62	,	2821.369211
0.63	,	1952.335887
0.64	,	997.9761159
0.65	,	5.88071E-013
0.66	,	0
0.67	,	0
0.68	,	0
0.69	,	0
0.70	,	0
0.71	,	0
0.72	,	0
0.73	,	0
0.74	,	0
0.75	,	0
0.76	,	0
0.77	,	0
0.78	,	0
0.79	,	0
0.80	,	0
0.81	,	0
0.82	,	0
0.83	,	0
0.84	,	0
0.85	,	0
0.86	,	0
0.87	,	0
0.88	,	0
0.89	,	0
0.90	,	0
0.91	,	0
0.92	,	0
0.93	,	0
0.94	,	0
0.95	,	0
0.96	,	0
0.97	,	0
0.98	,	0
0.99	,	0
1.00	,	0
1.01	,	997.9761159
1.02	,	1952.335887
1.03	,	2821.369211
1.04	,	3567.095162
1.05	,	4156.921938
1.06	,	4565.071278
1.07	,	4773.705098
1.08	,	4773.705098
1.09	,	4565.071278
